id,subcorpus,language,text,parallel_group,source,num_words,feature,morphemes_sw,num_morphemes,morphemes_detail,n_morphemes_seg,traduction_fr
P001_fr,A_parallel,fr,Le gouvernement a annoncé de nouvelles mesures économiques.,P001,FLORES-200 devtest,8,,,13.0,Le gouverne|ment a annonc|é de nouvel|le|s mesure|s économi|que|s,15.0,
P001_wo,A_parallel,wo,Dëkk bi dafa jox xëtu njëkëram ci yàgg-yàgg yu soppiku mbir yu njëkk.,P001,FLORES-200 devtest,13,,,16.0,Dëkk bi dafa jox xëtu njëkër|am ci yàgg-yàgg yu soppi|ku mbir yu njëkk,15.0,Le gouvernement a annoncé de nouvelles mesures économiques.
P001_yo,A_parallel,yo,Ìjọba ń kéde àwọn ìgbésẹ̀ ọrọ̀ ajé tuntun.,P001,FLORES-200 devtest,8,,,9.0,Ì|jọba ń kéde àwọn ì|gbésẹ̀ ọrọ̀ ajé tuntun,10.0,Le gouvernement a annoncé de nouvelles mesures économiques.
P001_sw,A_parallel,sw,Serikali imetangaza hatua mpya za kiuchumi.,P001,FLORES-200 devtest,6,,9.0,9.0,Serikali i|me|tangaza hatua mpya za ki|uchumi,9.0,Le gouvernement a annoncé de nouvelles mesures économiques.
P001_fon,A_parallel,fon,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó azɔwanú jí.,P001,FLORES-200 devtest,10,,,11.0,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó a|zɔ|wa|nú jí,13.0,Le gouvernement a annoncé de nouvelles mesures économiques.
P002_fr,A_parallel,fr,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",P002,bible,17,,,19.0,Tout par lui a êtr|é fait et sans lui n' a êtr|é fait rien de ce qui exist|e,21.0,
P002_wo,A_parallel,wo,Lépp ci Kàddu gi lañu ko sàkke. Sàkkeesul dara lu ñu sàkkewul ci moom.,P002,bible,14,,,17.0,Lépp ci Kàddu gi lañu ko sàkke Sàkke|es|ul dara lu ñu sàkke|wul ci moom,17.0,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P002_yo,A_parallel,yo,Nípasẹ̀ rẹ̀ ni a dá ohun gbogbo; lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá. ,P002,bible,21,,,20.0,Ní|pasẹ̀ rẹ̀ ni a dá ohun gbogbo lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá,22.0,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P002_sw,A_parallel,sw,Kwa njia yake vitu vyote viliumbwa; hakuna hata kiumbe kimoja kilichoumbwa pasipo yeye. ,P002,bible,13,,7.0,7.0,Kwa njia yake vi|tu vyote vi|li|umbwa hakuna hata ki|umbe ki|moja ki|li|cho|umbwa pasipo yeye,21.0,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P002_fon,A_parallel,fon,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ́ mɛ lɛ́ɛ bǐ; è blǒ nǔ ɖěbǔ é mɛ vo ǎ.,P002,bible,23,,,23.0,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ mɛ lɛ bǐ è blǒ nǔ ɖěbǔ é mɛ vo ǎ,23.0,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P003_fr,A_parallel,fr,Il était au commencement en Dieu.,P003,bible,6,,,10.0,Il êtr|ait au commence|ment en Dieu,8.0,
P003_wo,A_parallel,wo,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla. ,P003,bible,9,,,9.0,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla,9.0,Il était au commencement en Dieu.
P003_yo,A_parallel,yo,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní àtètèkọ́ṣe.,P003,bible,9,,,10.0,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní à|tètè|kọ́ṣe,11.0,Il était au commencement en Dieu.
P003_sw,A_parallel,sw,Tangu mwanzo Neno alikuwa na Mungu. ,P003,bible,6,,11.0,11.0,Tangu mwanzo Neno a|li|kuwa na Mungu,8.0,Il était au commencement en Dieu.
P003_fon,A_parallel,fon,Xó énɛ́ kó ɖe tɛgbɛ xá Mawu ɖo bǐbɛ́mɛ.,P003,bible,9,,,11.0,Xó énɛ kó ɖe tɛgbɛ xá Mawu ɖo bǐ|bɛ́|mɛ,11.0,Il était au commencement en Dieu.
P004_fr,A_parallel,fr,"En lui était la vie, et la vie était la lumière des hommes.",P004,bible,13,,,17.0,En lui êtr|ait la vie et la vie êtr|ait la lumièr|e des homme|s,17.0,
P004_wo,A_parallel,wo,"Ci moom la dund nekk, te dund dig leer, ñeel nit ñi.",P004,bible,12,,,12.0,Ci moom la dund nekk te dund dig leer ñeel nit ñi,12.0,"En lui était la vie, et la vie était la lumière des hommes."
P004_yo,A_parallel,yo,"Nínú rẹ̀ ni ìyè wà, ìyè yìí náà sì ni ìmọ́lẹ̀ aráyé.",P004,bible,12,,,13.0,Nínú rẹ̀ ni ìyè wà ìyè yìí náà sì ni ì|mọ́lẹ̀ ar|ayé,14.0,"En lui était la vie, et la vie était la lumière des hommes."
P004_sw,A_parallel,sw,Yeye alikuwa chanzo cha uhai na uhai huo ulikuwa mwanga wa watu. ,P004,bible,12,,7.0,7.0,Yeye a|li|kuwa chanzo cha u|hai na u|hai huo u|li|kuwa mwanga wa watu,18.0,"En lui était la vie, et la vie était la lumière des hommes."
P004_fon,A_parallel,fon,"É mɛ wɛ gbɛ ɖe, bɔ gbɛ ɔ́ ka nɔ ná wěziza gbɛtɔ́. ",P004,bible,13,,,14.0,É mɛ wɛ gbɛ ɖe bɔ gbɛ ɔ ka nɔ ná wɛ|ziza gbɛ|tɔ,15.0,"En lui était la vie, et la vie était la lumière des hommes."
P005_fr,A_parallel,fr,"Il vint chez lui, et les siens ne l'ont pas reçu.",P005,bible,11,,,13.0,Il vin|t chez lui et les sien|s ne l' on|t pas reç|u,16.0,
P005_wo,A_parallel,wo,"Ci ñoñam la ñëw, waaye ñoñam a ko dalalul.",P005,bible,9,,,11.0,Ci ñoñ|am la ñëw waaye ñoñ|am a ko dalal|ul,12.0,"Il vint chez lui, et les siens ne l'ont pas reçu."
P005_yo,A_parallel,yo,"Ó tọ àwọn tirẹ̀ wá, àwọn tirẹ̀ kò sì gbà á. ",P005,bible,11,,,11.0,Ó tọ àwọn tirẹ̀ wá àwọn tirẹ̀ kò sì gbà á,11.0,"Il vint chez lui, et les siens ne l'ont pas reçu."
P005_sw,A_parallel,sw,"Alikuja katika nchi yake mwenyewe, nao walio wake hawakumpokea. ",P005,bible,9,,11.0,11.0,A|li|kuja katika nchi yake mwenyewe nao wa|lio wake ha|wa|ku|m|pokea,16.0,"Il vint chez lui, et les siens ne l'ont pas reçu."
