id;langue;fichier_audio;transcription_ortho;transcription_ipa;traduction_fr;locuteur;source;paire_minimale;id_paire;ton_patron;conditions;duree_sec;qualite;notes
wol_001;wolof;raw/wolof/wol_001.mp3;boobu boo ko laalee ci sa loxo day taq ripp ci sa loxo;/boobu boo ko laalee t͡ʃi sa loxo daj taq ɾipp t͡ʃi sa loxo/;lorsque vous le tenez dans votre main, vous le tenez dans votre main;L1_inconnu;kallama;non;;;studio;2.895;haute;
wol_002;wolof;raw/wolof/wol_002.mp3;Station shell icotaf;/station shell it͡ʃotaf/;Stations de l'icotaf de la Croix;L1_inconnu;urban_bus;non;;;studio;2.664;haute;
wol_003;wolof;raw/wolof/wol_003.mp3;ba mu egsee ñépp wër ko mu ni leen;/ba mu eɡsee ɲépp wəɾ ko mu ni leen/;et quand il s'était rassemblé tout autour de lui, il;L1_inconnu;alffa;non;;;studio;5.273;haute;
wol_004;wolof;raw/wolof/wol_004.mp3;budee lu mel ni que business en plan la budee jigéen bi ne nekk membre fapal boo ñëwee daañu la jàppale ba nga am sa business en plan danga am sa plan commercial wala nga am sa plan de sa plan de développement;/budee lu mel ni que business en plan la budee d͡ʒiɡéen bi ne nekk meᵐbɾe fapal boo ɲəwee daaɲu la d͡ʒàppale ba ᵑɡa am sa business en plan daᵑɡa am sa plan t͡ʃommeɾt͡ʃial wala ᵑɡa am sa plan de sa plan de développement/;si vous avez un plan d'affaires, ou si vous avez un plan d'affaires, vous devrez vous assurer que vous avez un plan pour votre entreprise, ou que vous avez un plan pour votre développement.;L1_inconnu;kallama;non;;;studio;8.999;haute;
wol_005;wolof;raw/wolof/wol_005.mp3;amoon na ñu daan gas di ci denc seen alal;/amoon na ɲu daan ɡas di t͡ʃi deⁿt͡ʃ seen alal/;il y avait quelques personnes qui avaient le gaz dans leur;L1_inconnu;alffa;non;;;studio;5.22;haute;
wol_006;wolof;raw/wolof/wol_006.mp3;dañuy dem ba mois aôut bi jeex nga buddi yëpp béy jiw su ko defee mu bañ a tawte mais ren jii bañ ko defee ndaox mi boo xoolee macha ar allah ar ñaari taw la ñu am mu arreté kon ndox mi ren demeewul noonu mooy problème bi ren;/daɲuj dem ba mois aôut bi d͡ʒeex ᵑɡa buddi jəpp béj d͡ʒiw su ko defee mu baɲ a tawte mais ɾen d͡ʒii baɲ ko defee ⁿdaox mi boo xoolee mat͡ʃa aɾ allah aɾ ɲaaɾi taw la ɲu am mu aɾɾeté kon ⁿdox mi ɾen demeewul noonu mooj pɾoblème bi ɾen/;quand le soleil se couchera, vous ne pourrez pas voir le ciel, vous ne verrez pas la lune, vous ne verrez pas les étoiles, vous ne verrez pas les étoiles, vous ne verrez pas les étoiles.;L1_inconnu;kallama;non;;;studio;15.181;haute;
wol_007;wolof;raw/wolof/wol_007.mp3;toN toN u naat saa yu wëree am réew dunq yaa tax;/ton ton u naat saa ju wəɾee am ɾéew dunq jaa tax/;chaque fois que vous êtes dans le pays, vous êtes dans le pays;L1_inconnu;alffa;non;;;studio;4.682;haute;
wol_008;wolof;raw/wolof/wol_008.mp3;bañ loo menul à vañi darà moo k begà ém;/baɲ loo menul à vaɲi daɾà moo k beɡà ém/;je ne veux pas que ce soit le cas, mais c'est;L1_inconnu;alffa;non;;;studio;4.142;haute;
wol_009;wolof;raw/wolof/wol_009.mp3;Le Baol;/le baol/;Sur le balcon.;L1_inconnu;urban_bus;non;;;studio;2.064;haute;
wol_010;wolof;raw/wolof/wol_010.mp3;damay wax ni ñëpp d ici 2080 dem 3000 danañu yegg 3000 doomu baykat bu mu fekkoon nga nekk nii dootoo doon baykat ndax dootoo am foo bay;/damaj wax ni ɲəpp d it͡ʃi 2080 dem 3000 danaɲu jeɡɡ 3000 doomu bajkat bu mu fekkoon ᵑɡa nekk nii dootoo doon bajkat ⁿdax dootoo am foo baj/;je parle des années 2080, et je parle des années 3000, quand vous étiez enfant, vous n'allez plus être millionnaire, parce que vous n'allez plus être millionnaire.;L1_inconnu;kallama;non;;;studio;10.785;haute;
wol_011;wolof;raw/wolof/wol_011.mp3;mu ne du la may doomam ndax géwal nga;/mu ne du la maj doomam ⁿdax ɡéwal ᵑɡa/;il a dit qu'il ne vous donnerait pas son fils parce qu'il;L1_inconnu;alffa;non;;;studio;3.245;haute;
