sentence_id,language,subcorpus,tokenizer,n_words,n_tokens,fertility,tokens
P001_fr,fr,A_parallel,tiktoken,8,9,1.125,▁Le|▁gouvernement|▁a|▁annoncé|▁de|▁nouvelles|▁mesures|▁économiques|.
P001_fr,fr,A_parallel,sentencepiece,8,9,1.125,▁Le|▁gouvernement|▁a|▁annoncé|▁de|▁nouvelles|▁mesures|▁économiques|.
P001_fr,fr,A_parallel,caractere,8,59,7.375,L|e| |g|o|u|v|e|r|n|e|m|e|n|t| |a| |a|n
P001_fr,fr,A_parallel,mot,8,8,1.0,Le|gouvernement|a|annoncé|de|nouvelles|mesures|économiques.
P001_wo,wo,A_parallel,tiktoken,13,54,4.153846153846154,▁D|<0xC3>|<0xAB>|k|k|▁bi|▁d|af|a|▁j|ox|▁|x|<0xC3>|<0xAB>|tu|▁n|j|<0xC3>|<0xAB>
P001_wo,wo,A_parallel,sentencepiece,13,48,3.6923076923076925,▁D|<0xC3>|<0xAB>|k|k|▁bi|▁d|af|a|▁j|ox|▁|x|<0xC3>|<0xAB>|tu|▁nj|<0xC3>|<0xAB>|k
P001_wo,wo,A_parallel,caractere,13,69,5.3076923076923075,D|ë|k|k| |b|i| |d|a|f|a| |j|o|x| |x|ë|t
P001_wo,wo,A_parallel,mot,13,13,1.0,Dëkk|bi|dafa|jox|xëtu|njëkëram|ci|yàgg-yàgg|yu|soppiku|mbir|yu|njëkk.
P001_yo,yo,A_parallel,tiktoken,8,50,6.25,▁|<0xC3>|<0x8C>|j|<0xE1>|<0xBB>|<0x8D>|ba|▁|<0xC5>|<0x84>|▁|k|é|de|▁à|w|<0xE1>|<0xBB>|<0x8D>
P001_yo,yo,A_parallel,sentencepiece,8,12,1.5,▁|<0xC3>|<0x8C>|jọba|▁ń|▁kéde|▁àwọn|▁ìgbésẹ̀|▁ọrọ̀|▁ajé|▁tuntun|.
P001_yo,yo,A_parallel,caractere,8,42,5.25,Ì|j|ọ|b|a| |ń| |k|é|d|e| |à|w|ọ|n| |ì|g
P001_yo,yo,A_parallel,mot,8,8,1.0,Ìjọba|ń|kéde|àwọn|ìgbésẹ̀|ọrọ̀|ajé|tuntun.
P001_sw,sw,A_parallel,tiktoken,6,26,4.333333333333333,▁S|eri|k|ali|▁im|et|ang|a|z|a|▁hat|ua|▁m|p|y|a|▁|z|a|▁
P001_sw,sw,A_parallel,sentencepiece,6,7,1.1666666666666667,▁Serikali|▁imetangaza|▁hatua|▁mpya|▁za|▁kiuchumi|.
P001_sw,sw,A_parallel,caractere,6,43,7.166666666666667,S|e|r|i|k|a|l|i| |i|m|e|t|a|n|g|a|z|a| 
P001_sw,sw,A_parallel,mot,6,6,1.0,Serikali|imetangaza|hatua|mpya|za|kiuchumi.
P001_fon,fon,A_parallel,tiktoken,10,44,4.4,▁S|ins|<0xC9>|<0x9B>|n|▁|<0xC9>|<0x94>|▁|k|o|▁|<0xC9>|<0x96>|<0xC9>|<0x94>|▁n|<0xC7>|<0x94>|▁y
P001_fon,fon,A_parallel,sentencepiece,10,40,4.0,▁S|ins|<0xC9>|<0x9B>|n|▁|<0xC9>|<0x94>|▁k|o|▁|<0xC9>|<0x96>|<0xC9>|<0x94>|▁n|<0xC7>|<0x94>|▁y|<0xC9>
P001_fon,fon,A_parallel,caractere,10,41,4.1,S|i|n|s|ɛ|n| |ɔ| |k|o| |ɖ|ɔ| |n|ǔ| |y|ɔ
P001_fon,fon,A_parallel,mot,10,10,1.0,Sinsɛn|ɔ|ko|ɖɔ|nǔ|yɔyɔ̌|lɛ|dó|azɔwanú|jí.
P002_fr,fr,A_parallel,tiktoken,8,9,1.125,▁Les|▁enfants|▁jouent|▁dans|▁le|▁jardin|▁chaque|▁matin|.
P002_fr,fr,A_parallel,sentencepiece,8,9,1.125,▁Les|▁enfants|▁jouent|▁dans|▁le|▁jardin|▁chaque|▁matin|.
P002_fr,fr,A_parallel,caractere,8,47,5.875,L|e|s| |e|n|f|a|n|t|s| |j|o|u|e|n|t| |d
P002_fr,fr,A_parallel,mot,8,8,1.0,Les|enfants|jouent|dans|le|jardin|chaque|matin.
P002_wo,wo,A_parallel,tiktoken,10,26,2.6,▁|<0x58>|ale|▁y|i|▁da|ñ|u|y|▁f|<0xC3>|<0xAB>|le|▁ci|▁j|a|arden|▁bi|▁sub|a
P002_wo,wo,A_parallel,sentencepiece,10,24,2.4,▁|<0x58>|ale|▁y|i|▁d|añ|u|y|▁f|<0xC3>|<0xAB>|le|▁ci|▁ja|arden|▁bi|▁s|uba|▁bu
P002_wo,wo,A_parallel,caractere,10,46,4.6,X|a|l|e| |y|i| |d|a|ñ|u|y| |f|ë|l|e| |c
P002_wo,wo,A_parallel,mot,10,10,1.0,Xale|yi|dañuy|fële|ci|jaarden|bi|suba|bu|nekk.
P002_yo,yo,A_parallel,tiktoken,8,54,6.75,▁|<0xC3>|<0x80>|w|<0xE1>|<0xBB>|<0x8D>|n|▁|<0xE1>|<0xBB>|<0x8D>|m|<0xE1>|<0xBB>|<0x8D>|▁|<0xC5>|<0x84>|▁
P002_yo,yo,A_parallel,sentencepiece,8,18,2.25,▁|<0xC3>|<0x80>|wọn|▁ọmọ|▁ń|▁|<0xC5>|<0x9F>|eré|▁nínú|▁ọgbà|▁gbogbo|▁|<0xC3>|<0xB2>|wúrọ̀|.
P002_yo,yo,A_parallel,caractere,8,40,5.0,À|w|ọ|n| |ọ|m|ọ| |ń| |ş|e|r|é| |n|í|n|ú
P002_yo,yo,A_parallel,mot,8,8,1.0,Àwọn|ọmọ|ń|şeré|nínú|ọgbà|gbogbo|òwúrọ̀.
P002_sw,sw,A_parallel,tiktoken,5,22,4.4,▁Wat|ot|o|▁w|an|ac|he|z|a|▁b|ust|an|ini|▁|k|il|a|▁as|ub|u
P002_sw,sw,A_parallel,sentencepiece,5,6,1.2,▁Watoto|▁wanacheza|▁bustanini|▁kila|▁asubuhi|.
P002_sw,sw,A_parallel,caractere,5,40,8.0,W|a|t|o|t|o| |w|a|n|a|c|h|e|z|a| |b|u|s
P002_sw,sw,A_parallel,mot,5,5,1.0,Watoto|wanacheza|bustanini|kila|asubuhi.
P002_fon,fon,A_parallel,tiktoken,11,44,4.0,▁|<0x56>|<0xC7>|<0x90>|▁l|<0xC9>|<0x9B>|▁n|<0xC3>|<0xA1>|▁|x|<0xC3>|<0xB2>|▁|x|<0xC3>|<0xB2>|▁|<0xC9>
P002_fon,fon,A_parallel,sentencepiece,11,38,3.4545454545454546,▁|<0x56>|<0xC7>|<0x90>|▁l|<0xC9>|<0x9B>|▁n|á|▁|x|<0xC3>|<0xB2>|▁|x|<0xC3>|<0xB2>|▁|<0xC9>|<0x96>
P002_fon,fon,A_parallel,caractere,11,36,3.272727272727273,V|ǐ| |l|ɛ| |n|á| |x|ò| |x|ò| |ɖ|ò| |z|ɔ
P002_fon,fon,A_parallel,mot,11,11,1.0,Vǐ|lɛ|ná|xò|xò|ɖò|zɔ|mɛ|có|zǎn|gbɛ̀.
P003_fr,fr,A_parallel,tiktoken,11,14,1.2727272727272727,▁L|'|eau|▁est|▁essentielle|▁à|▁la|▁vie|▁de|▁tous|▁les|▁êtres|▁vivants|.
P003_fr,fr,A_parallel,sentencepiece,11,14,1.2727272727272727,▁L|'|eau|▁est|▁essentielle|▁à|▁la|▁vie|▁de|▁tous|▁les|▁êtres|▁vivants|.
P003_fr,fr,A_parallel,caractere,11,57,5.181818181818182,L|'|e|a|u| |e|s|t| |e|s|s|e|n|t|i|e|l|l
P003_fr,fr,A_parallel,mot,11,11,1.0,L'eau|est|essentielle|à|la|vie|de|tous|les|êtres|vivants.
P003_wo,wo,A_parallel,tiktoken,9,26,2.888888888888889,▁N|do|x|▁m|oo|y|▁j|<0xC3>|<0xAB>|k|k|▁ci|▁mu|ñ|▁b|u|▁y|ép|p|▁b
