id,subcorpus,language,parallel_group,text,num_words,num_morphemes,n_morphemes_seg,morphemes_detail,traduction_fr
P001_fon,A_parallel,fon,P001,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó azɔwanú jí.,10,11.0,13.0,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó a|zɔ|wa|nú jí,Le gouvernement a annoncé de nouvelles mesures économiques.
P001_fr,A_parallel,fr,P001,Le gouvernement a annoncé de nouvelles mesures économiques.,8,13.0,15.0,Le gouverne|ment a annonc|é de nouvel|le|s mesure|s économi|que|s,
P001_sw,A_parallel,sw,P001,Serikali imetangaza hatua mpya za kiuchumi.,6,9.0,9.0,Serikali i|me|tangaza hatua mpya za ki|uchumi,Le gouvernement a annoncé de nouvelles mesures économiques.
P001_wo,A_parallel,wo,P001,Dëkk bi dafa jox xëtu njëkëram ci yàgg-yàgg yu soppiku mbir yu njëkk.,13,16.0,15.0,Dëkk bi dafa jox xëtu njëkër|am ci yàgg-yàgg yu soppi|ku mbir yu njëkk,Le gouvernement a annoncé de nouvelles mesures économiques.
P001_yo,A_parallel,yo,P001,Ìjọba ń kéde àwọn ìgbésẹ̀ ọrọ̀ ajé tuntun.,8,9.0,10.0,Ì|jọba ń kéde àwọn ì|gbésẹ̀ ọrọ̀ ajé tuntun,Le gouvernement a annoncé de nouvelles mesures économiques.
P002_fon,A_parallel,fon,P002,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ́ mɛ lɛ́ɛ bǐ; è blǒ nǔ ɖěbǔ é mɛ vo ǎ.,23,23.0,23.0,É jí wɛ è gbɔn bó bló nǔ e ɖo gbɛ ɔ mɛ lɛ bǐ è blǒ nǔ ɖěbǔ é mɛ vo ǎ,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P002_fr,A_parallel,fr,P002,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe.",17,19.0,21.0,Tout par lui a êtr|é fait et sans lui n' a êtr|é fait rien de ce qui exist|e,
P002_sw,A_parallel,sw,P002,Kwa njia yake vitu vyote viliumbwa; hakuna hata kiumbe kimoja kilichoumbwa pasipo yeye. ,13,7.0,21.0,Kwa njia yake vi|tu vyote vi|li|umbwa hakuna hata ki|umbe ki|moja ki|li|cho|umbwa pasipo yeye,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P002_wo,A_parallel,wo,P002,Lépp ci Kàddu gi lañu ko sàkke. Sàkkeesul dara lu ñu sàkkewul ci moom.,14,17.0,17.0,Lépp ci Kàddu gi lañu ko sàkke Sàkke|es|ul dara lu ñu sàkke|wul ci moom,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P002_yo,A_parallel,yo,P002,Nípasẹ̀ rẹ̀ ni a dá ohun gbogbo; lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá. ,21,20.0,22.0,Ní|pasẹ̀ rẹ̀ ni a dá ohun gbogbo lẹ́yìn rẹ̀ a kò sì dá ohun kan nínú ohun tí a ti dá,"Tout par lui a été fait, et sans lui n'a été fait rien de ce qui existe."
P003_fon,A_parallel,fon,P003,Xó énɛ́ kó ɖe tɛgbɛ xá Mawu ɖo bǐbɛ́mɛ.,9,11.0,11.0,Xó énɛ kó ɖe tɛgbɛ xá Mawu ɖo bǐ|bɛ́|mɛ,Il était au commencement en Dieu.
P003_fr,A_parallel,fr,P003,Il était au commencement en Dieu.,6,10.0,8.0,Il êtr|ait au commence|ment en Dieu,
P003_sw,A_parallel,sw,P003,Tangu mwanzo Neno alikuwa na Mungu. ,6,11.0,8.0,Tangu mwanzo Neno a|li|kuwa na Mungu,Il était au commencement en Dieu.
P003_wo,A_parallel,wo,P003,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla. ,9,9.0,9.0,Njàlbéen ga fekk na Kàddu gi nekk ak Yàlla,Il était au commencement en Dieu.
P003_yo,A_parallel,yo,P003,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní àtètèkọ́ṣe.,9,10.0,11.0,Òun ni ó sì wà pẹ̀lú Ọlọ́run ní à|tètè|kọ́ṣe,Il était au commencement en Dieu.
P004_fon,A_parallel,fon,P004,"É mɛ wɛ gbɛ ɖe, bɔ gbɛ ɔ́ ka nɔ ná wěziza gbɛtɔ́. ",13,14.0,15.0,É mɛ wɛ gbɛ ɖe bɔ gbɛ ɔ ka nɔ ná wɛ|ziza gbɛ|tɔ,"En lui était la vie, et la vie était la lumière des hommes."
P004_fr,A_parallel,fr,P004,"En lui était la vie, et la vie était la lumière des hommes.",13,17.0,17.0,En lui êtr|ait la vie et la vie êtr|ait la lumièr|e des homme|s,
P004_sw,A_parallel,sw,P004,Yeye alikuwa chanzo cha uhai na uhai huo ulikuwa mwanga wa watu. ,12,7.0,18.0,Yeye a|li|kuwa chanzo cha u|hai na u|hai huo u|li|kuwa mwanga wa watu,"En lui était la vie, et la vie était la lumière des hommes."
P004_wo,A_parallel,wo,P004,"Ci moom la dund nekk, te dund dig leer, ñeel nit ñi.",12,12.0,12.0,Ci moom la dund nekk te dund dig leer ñeel nit ñi,"En lui était la vie, et la vie était la lumière des hommes."
P004_yo,A_parallel,yo,P004,"Nínú rẹ̀ ni ìyè wà, ìyè yìí náà sì ni ìmọ́lẹ̀ aráyé.",12,13.0,14.0,Nínú rẹ̀ ni ìyè wà ìyè yìí náà sì ni ì|mọ́lẹ̀ ar|ayé,"En lui était la vie, et la vie était la lumière des hommes."
P005_fon,A_parallel,fon,P005,"É wá mɛ tɔn lɛ́ɛ gɔ́n, bɔ mɛ tɔn lɛ́ɛ ka yí i ǎ. ",14,14.0,14.0,É wá mɛ tɔn lɛ gɔn bɔ mɛ tɔn lɛ ka yí i ǎ,"Il vint chez lui, et les siens ne l'ont pas reçu."
P005_fr,A_parallel,fr,P005,"Il vint chez lui, et les siens ne l'ont pas reçu.",11,13.0,16.0,Il vin|t chez lui et les sien|s ne l' on|t pas reç|u,
P005_sw,A_parallel,sw,P005,"Alikuja katika nchi yake mwenyewe, nao walio wake hawakumpokea. ",9,11.0,16.0,A|li|kuja katika nchi yake mwenyewe nao wa|lio wake ha|wa|ku|m|pokea,"Il vint chez lui, et les siens ne l'ont pas reçu."
P005_wo,A_parallel,wo,P005,"Ci ñoñam la ñëw, waaye ñoñam a ko dalalul.",9,11.0,12.0,Ci ñoñ|am la ñëw waaye ñoñ|am a ko dalal|ul,"Il vint chez lui, et les siens ne l'ont pas reçu."
