sentence_id,subcorpus,language,langue,text,parallel_group,source,num_words,num_morphemes,n_morphemes_seg,n_morphemes_ref,feature,morphemes_detail,traduction_fr,tokenizer,n_tokens,tokens_detail,fertility_word,fertility_morpheme,morpheme_coverage,overtokenization_pct
P001_fr,A_parallel,fr,Français,Le gouvernement a annoncé de nouvelles mesures économiques.,P001,FLORES-200 devtest,8,13.0,15.0,15.0,,Le gouverne|ment a annonc|é de nouvel|le|s mesure|s économi|que|s,,tiktoken,9,Le|gouvernement|a|annoncé|de|nouvelles|mesures|économiques|.,1.125,0.6,1.667,-40.0
P001_fr,A_parallel,fr,Français,Le gouvernement a annoncé de nouvelles mesures économiques.,P001,FLORES-200 devtest,8,13.0,15.0,15.0,,Le gouverne|ment a annonc|é de nouvel|le|s mesure|s économi|que|s,,sentencepiece,9,Le|gouvernement|a|annoncé|de|nouvelles|mesures|économiques|.,1.125,0.6,1.667,-40.0
P001_wo,A_parallel,wo,Wolof,Dëkk bi dafa jox xëtu njëkëram ci yàgg-yàgg yu soppiku mbir yu njëkk.,P001,FLORES-200 devtest,13,16.0,15.0,15.0,,Dëkk bi dafa jox xëtu njëkër|am ci yàgg-yàgg yu soppi|ku mbir yu njëkk,Le gouvernement a annoncé de nouvelles mesures économiques.,tiktoken,16,Dëkk|bi|dafa|jox|xëtu|njëkëram|ci|yàgg|-|yàgg|yu|soppiku|mbir|yu|njëkk|.,1.231,1.067,0.938,6.7
P001_wo,A_parallel,wo,Wolof,Dëkk bi dafa jox xëtu njëkëram ci yàgg-yàgg yu soppiku mbir yu njëkk.,P001,FLORES-200 devtest,13,16.0,15.0,15.0,,Dëkk bi dafa jox xëtu njëkër|am ci yàgg-yàgg yu soppi|ku mbir yu njëkk,Le gouvernement a annoncé de nouvelles mesures économiques.,sentencepiece,16,Dëkk|bi|dafa|jox|xëtu|njëkëram|ci|yàgg|-|yàgg|yu|soppiku|mbir|yu|njëkk|.,1.231,1.067,0.938,6.7
P001_yo,A_parallel,yo,Yoruba,Ìjọba ń kéde àwọn ìgbésẹ̀ ọrọ̀ ajé tuntun.,P001,FLORES-200 devtest,8,9.0,10.0,10.0,,Ì|jọba ń kéde àwọn ì|gbésẹ̀ ọrọ̀ ajé tuntun,Le gouvernement a annoncé de nouvelles mesures économiques.,tiktoken,9,Ìjọba|ń|kéde|àwọn|ìgbésẹ̀|ọrọ̀|ajé|tuntun|.,1.125,0.9,1.111,-10.0
P001_yo,A_parallel,yo,Yoruba,Ìjọba ń kéde àwọn ìgbésẹ̀ ọrọ̀ ajé tuntun.,P001,FLORES-200 devtest,8,9.0,10.0,10.0,,Ì|jọba ń kéde àwọn ì|gbésẹ̀ ọrọ̀ ajé tuntun,Le gouvernement a annoncé de nouvelles mesures économiques.,sentencepiece,9,Ìjọba|ń|kéde|àwọn|ìgbésẹ̀|ọrọ̀|ajé|tuntun|.,1.125,0.9,1.111,-10.0
P001_sw,A_parallel,sw,Swahili,Serikali imetangaza hatua mpya za kiuchumi.,P001,FLORES-200 devtest,6,9.0,9.0,9.0,,Serikali i|me|tangaza hatua mpya za ki|uchumi,Le gouvernement a annoncé de nouvelles mesures économiques.,tiktoken,7,Serikali|imetangaza|hatua|mpya|za|kiuchumi|.,1.167,0.778,1.286,-22.2
P001_sw,A_parallel,sw,Swahili,Serikali imetangaza hatua mpya za kiuchumi.,P001,FLORES-200 devtest,6,9.0,9.0,9.0,,Serikali i|me|tangaza hatua mpya za ki|uchumi,Le gouvernement a annoncé de nouvelles mesures économiques.,sentencepiece,7,Serikali|imetangaza|hatua|mpya|za|kiuchumi|.,1.167,0.778,1.286,-22.2
P001_fon,A_parallel,fon,Fongbé,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó azɔwanú jí.,P001,FLORES-200 devtest,10,11.0,13.0,13.0,,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó a|zɔ|wa|nú jí,Le gouvernement a annoncé de nouvelles mesures économiques.,tiktoken,11,Sinsɛn|ɔ|ko|ɖɔ|nǔ|yɔyɔ̌|lɛ|dó|azɔwanú|jí|.,1.1,0.846,1.182,-15.4
P001_fon,A_parallel,fon,Fongbé,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó azɔwanú jí.,P001,FLORES-200 devtest,10,11.0,13.0,13.0,,Sinsɛn ɔ ko ɖɔ nǔ yɔyɔ̌ lɛ dó a|zɔ|wa|nú jí,Le gouvernement a annoncé de nouvelles mesures économiques.,sentencepiece,11,Sinsɛn|ɔ|ko|ɖɔ|nǔ|yɔyɔ̌|lɛ|dó|azɔwanú|jí|.,1.1,0.846,1.182,-15.4
