id,nom,categorie,sous_categorie,couleur,image_path,description,prix,matiere
15832,Visudh Pink Printed Ethnic Kurta,Topwear,Kurtas,Pink,images/15832.jpg,"Le Visudh Pink Printed Ethnic Kurta est un haut en coton orné d’un imprimé ethnique délicat, pour un look à la fois traditionnel et moderne. Sa coupe ample et son rose vif en font un choix idéal pour une tenue confortable et esthétique, parfaite pour les occasions décontractées ou festives.",19228,Coton bio
33968,Femella Women Gold Shirt,Topwear,Shirts,Gold,images/33968.jpg,"La chemise Femella pour femmes, d'un éclat doré saisissant, apportera une touche glamour et moderne à votre tenue. Conçue en topwear premium, sa coupe ajustée et son tissu soyeux en font un choix idéal pour sublimer vos looks du quotidien.",18138,Coton
3314,Guerrilla Men's Warrior Brown T-shirt,Topwear,Tshirts,Brown,images/3314.jpg,"Le t-shirt Warrior Guerrilla pour homme arbore une couleur marrion intense et un style audacieux, parfait pour un look streetwear affirmé. Fabriqué en coton de qualité, il allie confort et durabilité pour un quotidien stylé.",14370,Mélange coton
11767,Lee Men Printed Grey Tshirts,Topwear,Tshirts,Grey,images/11767.jpg,Lee Men Printed Grey Tshirts : T-shirt en gris avec un motif original pour un look décontracté et stylé. Son confortable en coton et son coupe moderne en font un essentiel polyvalent pour toutes les occasions.,19269,Polyester
8725,Indigo Nation Men Checks Shirt Black Shirts,Topwear,Shirts,Black,images/8725.jpg,"L’Indigo Nation Men Checks Black Shirt allie élégance et style avec son motif carreau classique sur fond noir. Fabriqué dans un qualité supérieure, ce chemise s’adapte aussi bien pour un look décontracté que pour une tenue plus habillée. Un essentiel indispensable pour compléter votre garde-robe masculine.",12233,Mélange coton
24532,Mother Earth Women Off white Kurta,Topwear,Kurtas,White,images/24532.jpg,"Le Mother Earth Women Off white Kurta, en blanc pur, incarne l'élégance minimaliste avec son style sobre et intemporel. Conçu pour un confort au quotidien, ce top en coton léger s'adapte à toutes les occasions, offrant une touche de sophistication naturelle à votre garde-robe.",13474,Coton
24756,Spykar Men Green Sweaters,Topwear,Sweaters,Green,images/24756.jpg,"LeSpykar Men Green Sweater allie style et confort avec sa couleur verte vive, parfaite pour ajouter une touche dynamique à vos tenues. Fabriqué en材质 doux, ce sweat offre un ajustement confortable et une durabilité au quotidien, idéal pour une look décontracté mais sophistiqué.",10692,Coton
38808,Music Men Blue Printed T-shirt,Topwear,Tshirts,Blue,images/38808.jpg,"Découvrez notre T-shirt Music Men Blue, un must-have pour un look décontracté et stylé. Ce top en coton bleu arbore un imprimé musical graphique qui ajoute une touche originale à votre tenue, parfait pour tous les jours. Son ajustement comfort et sa qualité en font un essentiel de votre garde-robe.",14770,Polyester
8356,Doodle Boy's End Is Just Begining Black Kidswear,Topwear,Tshirts,Black,images/8356.jpg,"Ce t-shirt noir pour garçon arbore un design graphique inspiré du motif ""Doodle Boy's End Is Just Beginning"". Idéal pour un look décontracté et stylé, il apportera une touche d'originalité à la garde-robe de votre enfant. Une pièce essentielle et confortable pour le quotidien.",11467,Coton bio
31279,Puma Men Bonn Graphic Navy Blue T-shirt,Topwear,Tshirts,Navy Blue,images/31279.jpg,"Le Puma Men Bonn Graphic Navy Blue T-shirt est un essentiel de garde-robe avec son design graphique moderne et sa couleur marine intemporelle. Confortable et polyvalent, ce t-shirt s'associe facilement à n'importe quelle tenue pour un look décontracté et stylé.",12353,Coton bio
59442,Arrow Men Green Shirt,Topwear,Shirts,Green,images/59442.jpg,"L'Arrow Men Green Shirt est une chemise en vert élégante, parfaite pour un look décontracté et raffiné. Sa coupe moderne et ses détails soignés en font un incontournable pour compléter votre vestier avec style. Idéale pour le quotidien ou les occasions spéciales, elle allie confort et sophistication.",15909,Coton bio
17290,Spykar Men's Solid Sweater,Topwear,Sweaters,Grey,images/17290.jpg,"Le Spykar Men's Solid Sweater, en gris sobre et élégant, allie confort et style avec une coupe moderne parfaite pour un quotidien raffiné. Enveloppé de sa matière douce et chaude, ce pull apporte une touche de sophistication à vos tenues, idéal pour sublimer votre look hivernal avec une praticité irréprochable.",14530,Coton
24146,ADIDAS Men Black T-shirt,Topwear,Tshirts,Black,images/24146.jpg,"Le T-shirt noir pour homme Adidas allie style confort et authenticité avec son coloris intemporel. Conçu en coton doux, il offre un ajustement décontracté idéal pour un look quotidien à la fois simple et sportif. Le logo emblématique de la marque, discrètement placé, ajoute une touche d'identité distinctive à ce vêtement polyvalent.",14499,Mélange coton
