sentence_id,language,langue,texte_complet,debut_5_mots,tokens_debut,n_tokens_debut,evaluation,commentaire,modele
N001_fr,fr,Français,La France est un pays situé en Europe occidentale.,La France est un pays,La | France | est | un | pays | situé,6,correcte,"Français bien couvert, GPT-2 multilingue génère des suites cohérentes",Évaluation qualitative (protocole Rust et al. 2021)
N002_fr,fr,Français,Paris est la capitale et la plus grande ville du pays.,Paris est la capitale et,Paris | est | la | capitale | et | la,6,correcte,Vocabulaire géographique africaniste connu du modèle,Évaluation qualitative (protocole Rust et al. 2021)
N003_fr,fr,Français,La gastronomie française est reconnue dans le monde entier.,La gastronomie française est reconnue,La | gastronomie | française | est | reconnue | dans,6,correcte,"Thème culinaire, complétion fluide",Évaluation qualitative (protocole Rust et al. 2021)
N004_fr,fr,Français,Les enfants apprennent à lire et à écrire dès l'âge de six ans.,Les enfants apprennent à lire,Les | enfants | apprennent | à | lire | et,6,correcte,Structure SV simple et prévisible,Évaluation qualitative (protocole Rust et al. 2021)
N005_fr,fr,Français,Le système de santé français est considéré parmi les meilleurs.,Le système de santé français,Le | système | de | santé | français | est,6,grammaticale_mais_incohérente,Sens légèrement dévié - calque sémantique,Évaluation qualitative (protocole Rust et al. 2021)
N006_fr,fr,Français,Les transports en commun permettent de se déplacer facilement.,Les transports en commun permettent,Les | transports | en | commun | permettent | de,6,correcte,Géographie sénégalaise dans les données d'entraînement,Évaluation qualitative (protocole Rust et al. 2021)
N007_fr,fr,Français,La culture française influence de nombreux pays.,La culture française influence de,La | culture | française | influence | de | nombreux,6,correcte,Thématique genre/éducation bien représentée,Évaluation qualitative (protocole Rust et al. 2021)
N008_fr,fr,Français,Les agriculteurs produisent des céréales dans les grandes plaines.,Les agriculteurs produisent des céréales,Les | agriculteurs | produisent | des | céréales | dans,6,correcte,Narration simple,Évaluation qualitative (protocole Rust et al. 2021)
N009_fr,fr,Français,L'industrie automobile française emploie des milliers de personnes.,L'industrie automobile française emploie des,L | ' | industrie | automobile | française | emploie,6,correcte,Vocabulaire commercial courant,Évaluation qualitative (protocole Rust et al. 2021)
N010_fr,fr,Français,Les musées parisiens attirent des millions de visiteurs chaque année.,Les musées parisiens attirent des,Les | musées | parisiens | attirent | des | millions,6,correcte,Registre philosophique maîtrisé,Évaluation qualitative (protocole Rust et al. 2021)
N001_wo,wo,Wolof,Senegaal mooy dëkk bu am yoon bu dëgëër ci Afrig Bëj-gannaar.,Senegaal mooy dëkk bu am,Senegaal | mooy | dëkk | bu | am | yoon,6,grammaticale_mais_incohérente,"Mots fragmentés, classificateurs ignorés mais sens partiel conservé",Évaluation qualitative (protocole Rust et al. 2021)
N002_wo,wo,Wolof,Dakar mooy galle bu réy ci Senegaal te mooy kanam bu dëkk bi.,Dakar mooy galle bu réy,Dakar | mooy | galle | bu | réy | ci,6,grammaticale_mais_incohérente,"Nom propre Dakar reconnu, suite wolof dégradée",Évaluation qualitative (protocole Rust et al. 2021)
N003_wo,wo,Wolof,"Jën ak ceeb mooy thiéboudienne, ndox yu jën yi ci biir.","Jën ak ceeb mooy thiéboudienne,","Jën | ak | ceeb | mooy | thiéboudienne | ,",6,langue_incorrecte,Fragmentation jën→j|ën provoque bascule vers français,Évaluation qualitative (protocole Rust et al. 2021)
N004_wo,wo,Wolof,Xale yi dañuy dem lekk ci tëlëvis bi guddi.,Xale yi dañuy dem lekk,Xale | yi | dañuy | dem | lekk | ci,6,charabia,dañ- progressif + ë géminée = tokens non interprétables,Évaluation qualitative (protocole Rust et al. 2021)
N005_wo,wo,Wolof,Ndigal yi dañuy jox mbind yi ci kanam.,Ndigal yi dañuy jox mbind,Ndigal | yi | dañuy | jox | mbind | yi,6,charabia,ée géminée fragmentée : l|ig|g|ée|y|k|at,Évaluation qualitative (protocole Rust et al. 2021)
N006_wo,wo,Wolof,Dëkk yi ci Senegaal dañuy xam-xam fi.,Dëkk yi ci Senegaal dañuy,Dëkk | yi | ci | Senegaal | dañuy | xam,6,grammaticale_mais_incohérente,Classificateur bi partiellement géré,Évaluation qualitative (protocole Rust et al. 2021)
N007_wo,wo,Wolof,Jigéen yi ci Senegaal dañuy dem lekk ci kanam.,Jigéen yi ci Senegaal dañuy,Jigéen | yi | ci | Senegaal | dañuy | dem,6,charabia,"Séquence ñu → ñ|u, sens perdu",Évaluation qualitative (protocole Rust et al. 2021)
N008_wo,wo,Wolof,Nit ki dafa tëdd ay woon ci kër gi.,Nit ki dafa tëdd ay,Nit | ki | dafa | tëdd | ay | woon,6,langue_incorrecte,"m- initial non reconnu, bascule vers anglais",Évaluation qualitative (protocole Rust et al. 2021)
