n,language,langue,phrase_fr,traduction_ref,evaluation,commentaire
1,wo,Wolof,Les enfants vont à l'école chaque matin.,Xale yi dañuy dem lekk suba bu nekk.,bonne,"Classificateur yi correct, progressif dañuy correct"
2,wo,Wolof,Le marché est ouvert le samedi.,Marché bi dafa jëlëndiku Aseer bu nekk.,bonne,Emprunt Marché+bi correct
3,wo,Wolof,L'eau est essentielle pour la vie.,Ndox mooy jëkk ci muñ bu yépp.,bonne,Ndox+mooy idiomatique
4,wo,Wolof,Les femmes jouent un rôle important dans la société.,Jigéen yi am solo bu dëgëër ci dëkk bi.,bonne,Jigéen yi + am solo bu dëgëër naturel
5,wo,Wolof,Le gouvernement a annoncé de nouvelles mesures.,Dëkk bi dafa jox xëtu njëkëram.,bonne,Xëtu njëkëram (mesures) naturel
6,wo,Wolof,La médecine moderne sauve des vies.,Dëgëm bu yore bi dafa mën a dëkk yoon yi.,bonne,Dëgëm bu yore (médecine moderne) idiomatique
7,wo,Wolof,Les jeunes sont l'avenir du pays.,Reew mi mooy yëngël bu suukandiku.,bonne,Expression figée correcte
8,wo,Wolof,L'agriculture est la principale activité économique.,Jëf-jëf bu dëkk mooy yoon wu njëkk wu xalis.,bonne,Redoublement jëf-jëf approprié
9,wo,Wolof,La paix est nécessaire pour le développement.,Jàmm mooy nit ki bëgg a yor.,bonne,Jàmm (paix) + nit ki bëgg naturel
10,wo,Wolof,Les nouvelles technologies changent notre vie.,Xeetu njëkëram yi ëpp dañuy soppi yoon wu ñu dëkk.,bonne,Xeetu njëkëram yi + soppi correct
1,yo,Yoruba,Les enfants vont à l'école chaque matin.,Àwọn ọmọ ń lọ sí ilé-ẹ̀kọ́ gbogbo òwúrọ̀.,bonne,"ilé-ẹ̀kọ́ composé correct, progressif ń"
2,yo,Yoruba,Le marché est ouvert le samedi.,Ọjà ń ṣí ní ọjọ Àbámẹ́ta.,acceptable,"Ọjọ Àbámẹ́ta = mercredi, samedi=Àìkú (approximatif)"
3,yo,Yoruba,L'eau est essentielle pour la vie.,Omi ṣe pàtàkì fún ìgbésí ayé.,bonne,Structure courte et correcte
4,yo,Yoruba,Les femmes jouent un rôle important dans la société.,Àwọn obìnrin kó ipa pàtàkì nínú àwùjọ.,bonne,obìnrin + ipa pàtàkì idiomatique
5,yo,Yoruba,Le gouvernement a annoncé de nouvelles mesures.,Ìjọba ń kéde àwọn ìgbésẹ̀ tuntun.,bonne,Ì-jọba + ń kéde correct
6,yo,Yoruba,La médecine moderne sauve des vies.,Ìmọ̀ ìjìnlẹ̀ ogún òde òní gbà ẹ̀mí là.,bonne,ti + gbà + là : passé composé correct
7,yo,Yoruba,Les jeunes sont l'avenir du pays.,Àwọn ọ̀dọ́ ni ọjọ́ iwájú orílẹ̀-èdè.,bonne,Composé ọjọ́ iwájú (avenir) correct
